"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB11493",3,265321782.178218,"188_2_19","529.31196",211,"Multiple",NA,NA,"LysoPE(0:022:4(7Z10Z13Z16Z))","C27H48NO7P","-","M-H_[-1]",236022.678571429
"HMDB11493",3,265321782.178218,"188_2_19","528.31012",210.9,"Multiple",528.30956,1.06,"LysoPE(0:022:4(7Z10Z13Z16Z))","C27H48NO7P","529.316839407","M-H",867355.3
"HMDB11494",3,262648514.851485,"0_69_2","527.29652",203.1,"Multiple",NA,NA,"LysoPE(0:022:5(4Z7Z10Z13Z16Z))","C27H46NO7P","-","M-H_[-1]",566091.589285714
"HMDB11494",3,262648514.851485,"0_69_2","526.29553",203.2,"Multiple",526.29391,3.08,"LysoPE(0:022:5(4Z7Z10Z13Z16Z))","C27H46NO7P","527.301189343","M-H",1690897.7
"HMDB11495",3,262648514.851485,"0_69_2","527.29652",203.1,"Multiple",NA,NA,"LysoPE(0:022:5(7Z10Z13Z16Z19Z))","C27H46NO7P","-","M-H_[-1]",566091.589285714
"HMDB11495",3,262648514.851485,"0_69_2","526.29553",203.2,"Multiple",526.29391,3.08,"LysoPE(0:022:5(7Z10Z13Z16Z19Z))","C27H46NO7P","527.301189343","M-H",1690897.7
"HMDB11505",3,231237623.762376,"0_69_3","480.30124",214.5,"Multiple",NA,NA,"LysoPE(18:1(11Z)0:0)","C23H46NO7P","-","M-H_[+2]",233070.964285714
"HMDB11505",3,231237623.762376,"0_69_3","479.29861",214.6,"Multiple",NA,NA,"LysoPE(18:1(11Z)0:0)","C23H46NO7P","-","M-H_[-1]",1674560.96428571
"HMDB11505",3,231237623.762376,"0_69_3","478.29350",214.6,"Multiple",478.29391,0.86,"LysoPE(18:1(11Z)0:0)","C23H46NO7P","479.301189343","M-H",8556230.2
"HMDB11506",3,231237623.762376,"0_69_3","480.30124",214.5,"Multiple",NA,NA,"LysoPE(18:1(9Z)0:0)","C23H46NO7P","-","M-H_[+2]",233070.964285714
"HMDB11506",3,231237623.762376,"0_69_3","479.29861",214.6,"Multiple",NA,NA,"LysoPE(18:1(9Z)0:0)","C23H46NO7P","-","M-H_[-1]",1674560.96428571
